TreeCode,ScientificName,EnglishName,Group,Bad
Oe,Ulmus pumila,Siberian elm,Broadleaf_Exotic,x
Of,Pyrus communis,common pear,Broadleaf_Exotic,x
Og,Fraxinus latifolia,Oregon ash,Broadleaf_Native,
Oh,Fraxinus americana,white ash,Broadleaf_Native,
Oi,Carya ovata,shagbark hickory,Broadleaf_Exotic,x
Oj,Ailanthus altissima,tree-of-heaven,Broadleaf_Exotic,x
Ok,Juglans ailantifolia,Japanese walnut,Broadleaf_Exotic,x
Pa,Pinus albicaulis,whitebark pine,Conifer_BC,
Pf,Pinus flexilis,limber pine,Conifer_BC,
Pj,Pinus banksiana,jack pine,Conifer_Native,
"Pl (Pli, Plc)",Pinus contorta,lodgepole pine,Conifer_BC,
Pm,Pinus radiata,Monterey pine,Conifer_Native,
Pr,Pinus resinosa,red pine,Conifer_Native,
Ps,Pinus lambertiana,sugar pine,Conifer_Native,
Pw,Pinus monticola,western white pine,Conifer_BC,
"Py (Pyi, Pyc)",Pinus ponderosa,ponderosa pine,Conifer_BC,
Qb,Quercus kelloggii,black oak,Broadleaf_Native,
Qc,Quercus chrysolepsis,canyon live oak,Broadleaf_Native,
Qe,Quercus robur,English oak,Broadleaf_Exotic,x
Qg,Quercus garryana,Garry oak,Broadleaf_BC,
Qm,Quercus macrocarpa,burr oak,Broadleaf_Native,
Qs,Quercus sadleriana,Sadler oak,Broadleaf_Native,
Qv,Quercus vaccinifolia,huckleberry oak,Broadleaf_Native,
Qw,Quercus alba,white oak,Broadleaf_Exotic,x
Ra,Arbutus menziesii,Pacific arbutus,Broadleaf_BC,
Sb,Picea mariana,black spruce,Conifer_BC,
Sn,Picea abies,Norway spruce,Conifer_Exotic,x
"Sx (Sw, Se, Sxw)",Picea engelmannii x glauca,Interior spruces,Conifer_BC,
"Ss (Ss, Sxl, Sxs)",Picea sitchensis,Sitka spruce + hybrids,Conifer_BC,
Tw,Taxus brevifolia,Pacific yew,Conifer_BC,
Ua,Malus pumila,common apple,Broadleaf_Exotic,x
UMCA,Umbellularia californica,California laurel,Broadleaf_Native,x
Up,Malus fusca,Pacific crabapple,Broadleaf_BC,x
Vb,Prunus emarginata,bitter cherry,Broadleaf_BC,x
Vp,Prunus pensylvanica,pin cherry,Broadleaf_BC,x
Vs,Prunus avium,sweet cherry,Broadleaf_Exotic,x
Vv,Prunus virginiana,choke cherry,Broadleaf_BC,x
Vv,Prunus virginiana ssp. melanocarpa,black choke cherry,Broadleaf_BC,x
Vv,Prunus virginiana var. demissa,choke cherry,Broadleaf_BC,x
Wa,Salix amygdaloides,peach-leaved willow,Broadleaf_BC,x
Wb,Salix bebbiana,Bebb's willow,Broadleaf_BC,x
Wd,Salix discolor,pussy willow,Broadleaf_BC,x
Wp,Salix lasiandra,Pacific willow,Broadleaf_BC,x
Wp,Salix lasiandra var. caudata,whiplash Pacific willow,Broadleaf_BC,x
Wp,Salix lasiandra var. lasiandra,Pacific willow,Broadleaf_BC,x
Ws,Salix scouleriana,Scouler's willow,Broadleaf_BC,x
Wt,Salix sitchensis,Sitka willow,Broadleaf_BC,x
Yc,Callitropsis   nootkatensis,yellow-cedar,Conifer_BC,
Yp,Chamaecyparis lawsoniana,Port Orford-cedar,Conifer_Native,
